id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,lau_code,tuik_id,icisleri_id,osm_relation_id,parent_name,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-D-01-001,district,TR-P-01,TR-R-AKD,Akdeniz,Aladağ,aladag,aladag-adana,01,001,,,,,,Adana,37.53350658,35.30918714,35.07855726800011,37.307136716000116,35.586155111000096,37.76014137400006,[],[],35.30918714,37.53350658,EPSG:4326
TR-D-01-002,district,TR-P-01,TR-R-AKD,Akdeniz,Ceyhan,ceyhan,ceyhan-adana,01,002,,,,,,Adana,37.05733293,35.86973091,35.57164264000005,36.837376418000076,36.093638769000165,37.27664015700009,[],[],35.86973091,37.05733293,EPSG:4326
TR-D-01-003,district,TR-P-01,TR-R-AKD,Akdeniz,Çukurova,cukurova,cukurova-adana,01,003,,,,,,Adana,37.09606666,35.15466047,35.00213070900014,37.022820722000176,35.34410675300012,37.16937402700006,[],[],35.15466047,37.09606666,EPSG:4326
TR-D-01-004,district,TR-P-01,TR-R-AKD,Akdeniz,Feke,feke,feke-adana,01,004,,,,,,Adana,37.90026386,35.78325296,35.57531001000012,37.69184171500012,36.08504600900005,38.10812882600004,[],[],35.78325296,37.90026386,EPSG:4326
TR-D-01-005,district,TR-P-01,TR-R-AKD,Akdeniz,İmamoğlu,imamoglu,imamoglu-adana,01,005,,,,,,Adana,37.31562698,35.61016378,35.40447116100012,37.196716430000095,35.80245742800014,37.43444767099999,[],[],35.61016378,37.31562698,EPSG:4326
TR-D-01-006,district,TR-P-01,TR-R-AKD,Akdeniz,Karaisalı,karaisali,karaisali-adana,01,006,,,,,,Adana,37.30053375,35.18416986,34.91983492700007,37.12494626900008,35.448020562000124,37.476249746000065,[],[],35.18416986,37.30053375,EPSG:4326
TR-D-01-007,district,TR-P-01,TR-R-AKD,Akdeniz,Karataş,karatas,karatas-adana,01,007,,,,,,Adana,36.67277505,35.27456016,34.904903974000035,36.54294559900018,35.592186112000036,36.80224514400015,[],[],35.27456016,36.67277505,EPSG:4326
TR-D-01-008,district,TR-P-01,TR-R-AKD,Akdeniz,Kozan,kozan,kozan-adana,01,008,,,,,,Adana,37.53350658,35.73628233,35.46356437500009,37.236366375000046,36.19031395800005,37.83101595900007,[],[],35.73628233,37.53350658,EPSG:4326
TR-D-01-009,district,TR-P-01,TR-R-AKD,Akdeniz,Pozantı,pozanti,pozanti-adana,01,009,,,,,,Adana,37.48972386,34.95906266,34.74864841099998,37.28518617300017,35.12600635200016,37.69332087100014,[],[],34.95906266,37.48972386,EPSG:4326
TR-D-01-010,district,TR-P-01,TR-R-AKD,Akdeniz,Saimbeyli,saimbeyli,saimbeyli-adana,01,010,,,,,,Adana,37.93787537,36.10634716,35.885116544000084,37.71998073900011,36.292652504000046,38.15677648800016,[],[],36.10634716,37.93787537,EPSG:4326
TR-D-01-011,district,TR-P-01,TR-R-AKD,Akdeniz,Sarıçam,saricam,saricam-adana,01,011,,,,,,Adana,37.11694968,35.47965226,35.27066551500013,36.96514062200009,35.683669904000055,37.268919369,[],[],35.47965226,37.11694968,EPSG:4326
TR-D-01-012,district,TR-P-01,TR-R-AKD,Akdeniz,Seyhan,seyhan,seyhan-adana,01,012,,,,,,Adana,36.91702111,35.23152957,35.096819556000185,36.79353535700011,35.33786774100008,37.04057908100003,[],[],35.23152957,36.91702111,EPSG:4326
TR-D-01-013,district,TR-P-01,TR-R-AKD,Akdeniz,Tufanbeyli,tufanbeyli,tufanbeyli-adana,01,013,,,,,,Adana,38.23106894,36.18978193,35.98945283800015,38.05789759600003,36.400914286000045,38.402474510000104,[],[],36.18978193,38.23106894,EPSG:4326
TR-D-01-014,district,TR-P-01,TR-R-AKD,Akdeniz,Yumurtalık,yumurtalik,yumurtalik-adana,01,014,,,,,,Adana,36.73239583,35.55337111,35.465306273000124,36.56838219900004,35.91951761399997,36.896032394000144,[],[],35.55337111,36.73239583,EPSG:4326
TR-D-01-015,district,TR-P-01,TR-R-AKD,Akdeniz,Yüreğir,yuregir,yuregir-adana,01,015,,,,,,Adana,36.8884149,35.48168188,35.179861674000165,36.740683627000124,35.68551303500004,37.0361945300001,[],[],35.48168188,36.8884149,EPSG:4326
TR-D-02-001,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Adıyaman,adiyaman,adiyaman-adiyaman,02,001,,,,,,Adıyaman,37.70842074,38.27407276,38.010281956000085,37.408784707999985,38.51364559900003,38.00818158800007,[],[],38.27407276,37.70842074,EPSG:4326
TR-D-02-002,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Besni,besni,besni-adiyaman,02,002,,,,,,Adıyaman,37.60274625,37.88282286,37.55218330500014,37.421681438,38.17289168200017,37.783141388000104,[],[],37.88282286,37.60274625,EPSG:4326
TR-D-02-003,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Çelikhan,celikhan,celikhan-adiyaman,02,003,,,,,,Adıyaman,38.0504121,38.26215039,38.07322199600003,37.95696587000009,38.445157268000116,38.144419794000044,[],[],38.26215039,38.0504121,EPSG:4326
TR-D-02-004,district,TR-P-02,TR-R-GDA,Güneydoğu Anadolu,Gerger,gerger,gerger-adiyaman,02,004,,,,,,Adıyaman,38.01498565,38.96745319,38.789782253,37.82360377500015,39.262586504000126,38.206316926,[],[],38.96745319,38.01498565,EPSG:4326
