id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,nuts_code,tuik_id,icisleri_id,osm_relation_id,municipality_type,municipality_type_label,is_metropolitan_municipality,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-P-01,province,TR-R-AKD,TR-R-AKD,Akdeniz,Adana,adana,adana,01,,TR-01,TR621,01,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,37.47297957,35.36894826,34.74864841099998,36.54294559900018,36.400914286000045,38.402474510000104,[],[],35.36894826,37.47297957,EPSG:4326
TR-P-02,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Adıyaman,adiyaman,adiyaman,02,,TR-02,TRC12,02,,,il_belediyesi,İl Belediyesi,false,37.80796082,38.2163118,37.439587212000106,37.408784707999985,39.262586504000126,38.206316926,[],[],38.2163118,37.80796082,EPSG:4326
TR-P-03,province,TR-R-EGE,TR-R-EGE,Ege,Afyonkarahisar,afyonkarahisar,afyonkarahisar,03,,TR-03,TR332,03,,,il_belediyesi,İl Belediyesi,false,38.52741234,30.59938896,29.672708583000144,37.788266654000154,31.733907972000168,39.272306628000194,[],[],30.59938896,38.52741234,EPSG:4326
TR-P-04,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Ağrı,agri,agri,04,,TR-04,TRA21,04,,,il_belediyesi,İl Belediyesi,false,39.48145345,43.4392706,42.28493469500006,38.9417897460001,44.48476663500003,40.020467950000125,[],[],43.4392706,39.48145345,EPSG:4326
TR-P-05,province,TR-R-KAR,TR-R-KAR,Karadeniz,Amasya,amasya,amasya,05,,TR-05,TR834,05,,,il_belediyesi,İl Belediyesi,false,40.65665512,35.8619352,34.99251262800004,40.233825166000145,36.50924922900015,41.082004583000014,[],[],35.8619352,40.65665512,EPSG:4326
TR-P-06,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Ankara,ankara,ankara,06,,TR-06,TR510,06,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,39.70064999,32.52458625,30.817284719000043,38.648238538000044,33.895137723000175,40.75233570600005,[],[],32.52458625,39.70064999,EPSG:4326
TR-P-07,province,TR-R-AKD,TR-R-AKD,Akdeniz,Antalya,antalya,antalya,07,,TR-07,TR611,07,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,36.76356695,31.89856688,29.26792088400009,36.08964068400019,32.660331829000086,37.43757236500011,[],[],31.89856688,36.76356695,EPSG:4326
TR-P-08,province,TR-R-KAR,TR-R-KAR,Karadeniz,Artvin,artvin,artvin,08,,TR-08,TR905,08,,,il_belediyesi,İl Belediyesi,false,41.04367875,41.86673604,41.15316604800012,40.56192543200012,42.61632268400018,41.52485609900009,[],[],41.86673604,41.04367875,EPSG:4326
TR-P-09,province,TR-R-EGE,TR-R-EGE,Ege,Aydın,aydin,aydin,09,,TR-09,TR321,09,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,37.73041114,28.04832544,27.00564120000007,37.33510449900007,28.867372111000122,38.12572643200019,[],[],28.04832544,37.73041114,EPSG:4326
TR-P-10,province,TR-R-MAR,TR-R-MAR,Marmara,Balıkesir,balikesir,balikesir,10,,TR-10,TR221,10,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,39.79493285,27.96922716,26.52799790000006,39.061350611000194,28.997964721000187,40.66692590000008,[],[],27.96922716,39.79493285,EPSG:4326
