CBNO,ILCE_CBNO,ADI,ALAN,CEVRE,NUFUS,POSTAKODU
35.00000,3.00000,ARGINCIK,1487460.00000,5613.00000,8925.00000,"38030"
37.00000,4.00000,CUMHURİYET,303128.00000,2166.00000,332.00000,"38110"
14.00000,5.00000,BAHÇELİEVLER,1213501.00000,4889.00000,22780.00000,"38280"
15.00000,3.00000,BARBAROS,1751644.00000,5592.00000,17187.00000,"38060"
780.00000,15.00000,SİNDELHÖYÜK CAMİKEBİR,34938580.00000,29994.00000,1624.00000,"38400"
18.00000,5.00000,MENGÜCEK,9634345.00000,20871.00000,261.00000,"38300"
19.00000,5.00000,BAŞAKPINAR,30022566.00000,29359.00000,3909.00000,"38300"
75.00000,2.00000,FIRINÖNÜ,29006434.00000,25275.00000,1487.00000,"38560"
844.00000,15.00000,SİNDELHÖYÜK FATİH,80765840.00000,41319.00000,1255.00000,"38400"
278.00000,3.00000,KARAKİMSE,41371054.00000,40406.00000,356.00000,"38090"
290.00000,14.00000,KARAŞEYH,18437578.00000,23635.00000,175.00000,"38750"
826.00000,8.00000,ILICA,21901364.00000,27456.00000,716.00000,"38820"
69.00000,3.00000,KAYABAŞI,2532726.00000,6687.00000,6658.00000,"38030"
324.00000,7.00000,BAHÇELİ EVLER,13018852.00000,24359.00000,190.00000,"38770"
349.00000,8.00000,BAKARCAK,40488296.00000,40393.00000,1012.00000,"38820"
404.00000,11.00000,KUŞÇU,9118166.00000,17470.00000,308.00000,"38800"
427.00000,6.00000,KARAKAYA,38310562.00000,35192.00000,952.00000,"38600"
20.00000,4.00000,BATTALGAZİ,4910019.00000,12079.00000,21643.00000,"38150"
21.00000,4.00000,BECEN,8728288.00000,15999.00000,2203.00000,"38150"
22.00000,1.00000,BEĞENDİK,32367905.00000,41910.00000,1928.00000,"38310"
483.00000,15.00000,SARICA,17332833.00000,19859.00000,360.00000,"38400"
24.00000,3.00000,BEYAZŞEHİR,1517723.00000,6815.00000,18517.00000,"38080"
25.00000,3.00000,BOĞAZKÖPRÜ,23463631.00000,29693.00000,101.00000,"38090"
26.00000,3.00000,BOZTEPE,4457387.00000,11151.00000,2267.00000,"38040"
103.00000,5.00000,HAN,279622.00000,2628.00000,512.00000,"38280"
104.00000,5.00000,HARMAN,7821669.00000,12120.00000,2675.00000,"38280"
2.00000,3.00000,AKCATEPE,10477299.00000,21608.00000,321.00000,"38095"
4.00000,1.00000,AKDAM,1892668.00000,7633.00000,1028.00000,"38310"
5.00000,1.00000,AKYAZI,3860778.00000,9720.00000,1659.00000,"38310"
6.00000,4.00000,ALPASLAN,1540206.00000,6302.00000,21860.00000,"38140"
7.00000,3.00000,ALSANCAK,980950.00000,5054.00000,4737.00000,"38030"
9.00000,4.00000,ANAFARTALAR,439021.00000,2807.00000,7323.00000,"38170"
11.00000,1.00000,AŞAĞI,12237048.00000,21745.00000,1923.00000,"38310"
499.00000,15.00000,ZİLE,27872557.00000,28773.00000,390.00000,"38400"
